NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuUsage,MemLoad,MsgRx,MsgTx,InvFail5xx,RegSuccRate
IMS-CSCF-A01,P_CSCF,20260608034500,5,1279,1267,12,791,771,20,24,6,2,2740,136.25,35.5,46.13,12753,11616,4,99.06
IMS-CSCF-A01,P_CSCF,20260608035000,5,1247,1224,23,771,763,8,24,6,1,2672,130.22,31.7,41.85,12536,11728,2,98.16
IMS-CSCF-A01,P_CSCF,20260608035500,5,1248,1218,30,772,757,15,37,7,1,2675,127.49,34.3,44.58,12444,12086,2,97.6
IMS-CSCF-A01,P_CSCF,20260608040000,5,1269,1256,13,786,764,22,27,6,2,2721,138.51,31.02,44.32,12674,11657,4,98.98
IMS-CSCF-A01,P_CSCF,20260608040500,5,1214,1185,29,752,737,15,36,7,1,2603,127.87,29.66,45.45,12183,11039,2,97.61
IMS-CSCF-A01,P_CSCF,20260608041000,5,1180,1171,9,730,716,14,18,4,1,2530,137.44,33.67,45.77,11693,10985,2,99.24
IMS-CSCF-A01,P_CSCF,20260608041500,5,1277,1270,7,790,779,11,14,3,1,2736,123.98,36.3,45.38,12899,12361,2,99.45
IMS-CSCF-A01,P_CSCF,20260608042000,5,1274,1258,16,788,776,12,21,5,2,2730,131.26,35.7,40.54,12799,11971,2,98.74
IMS-CSCF-A01,P_CSCF,20260608042500,5,1289,1259,30,798,791,7,28,7,2,2762,132.29,34.09,45.91,12780,12223,1,97.67
IMS-CSCF-A01,P_CSCF,20260608043000,5,1309,1297,12,810,787,23,27,7,1,2805,130.97,32.34,46.61,12994,12532,5,99.08
IMS-CSCF-A01,P_CSCF,20260608043500,5,1276,1246,30,790,771,19,39,9,1,2735,137.9,32.11,41.98,12770,12063,3,97.65
IMS-CSCF-A01,P_CSCF,20260608044000,5,1358,1338,20,841,820,21,32,7,2,2912,136.15,36.06,46.28,13711,12928,4,98.53
IMS-CSCF-A01,P_CSCF,20260608044500,5,1311,1284,27,811,798,13,31,7,2,2809,135.62,32.23,47.71,13418,12589,2,97.94
IMS-CSCF-A01,P_CSCF,20260608045000,5,1347,1327,20,833,810,23,34,8,1,2886,132.56,35.29,46.12,13727,12656,4,98.52
IMS-CSCF-A01,P_CSCF,20260608045500,5,1270,1250,20,786,763,23,35,7,1,2721,134.91,33.1,44.65,12868,11570,4,98.43
IMS-CSCF-A01,P_CSCF,20260608050000,5,1297,1261,36,803,784,19,41,11,3,2779,127.86,31.38,45.16,12749,12099,4,97.22
IMS-CSCF-A01,P_CSCF,20260608050500,5,1396,1383,13,864,844,20,26,5,2,2993,130.37,34.13,46.91,14295,13110,3,99.07
IMS-CSCF-A01,P_CSCF,20260608051000,5,1334,1325,9,826,803,23,25,5,2,2860,130.13,34.57,44.69,13545,12164,4,99.33
IMS-CSCF-A01,P_CSCF,20260608051500,5,1391,1350,41,861,846,15,45,9,2,2982,134.43,35.87,45.67,14164,12939,2,97.05
IMS-CSCF-A01,P_CSCF,20260608052000,5,1352,1336,16,837,815,22,29,7,2,2898,134.55,37.95,43.08,13824,12567,4,98.82
IMS-CSCF-A01,P_CSCF,20260608052500,5,1442,1433,9,893,873,20,22,6,1,3091,134.63,33.72,46.55,14049,13679,4,99.38
IMS-CSCF-A01,P_CSCF,20260608053000,5,1324,1288,36,819,806,13,39,8,2,2837,120.72,35.64,48.09,13352,12091,2,97.28
IMS-CSCF-A01,P_CSCF,20260608053500,5,1323,1294,29,819,804,15,35,8,1,2836,126.91,37.2,46.18,13507,12471,3,97.81
IMS-CSCF-A01,P_CSCF,20260608054000,5,1577,1563,14,976,954,22,29,6,1,3381,141.9,39.05,46.34,15628,14900,4,99.11
IMS-CSCF-A01,P_CSCF,20260608054500,5,1445,1419,26,894,868,26,41,10,1,3096,135.54,34.89,45.68,14281,13433,5,98.2
IMS-CSCF-A01,P_CSCF,20260608055000,5,1449,1428,21,897,886,11,25,6,1,3106,117.88,36.36,44.14,14207,13616,2,98.55
IMS-CSCF-A01,P_CSCF,20260608055500,5,1463,1454,9,905,889,16,20,4,1,3136,128.43,36.23,46.07,14774,13401,3,99.38
IMS-CSCF-A01,P_CSCF,20260608060000,5,1461,1453,8,904,898,6,12,2,0,3132,126.61,36.53,46.24,15077,13915,1,99.45
IMS-CSCF-A01,P_CSCF,20260608060500,5,1535,1522,13,950,944,6,15,3,1,3290,135.5,37.82,43.9,15681,14623,1,99.15
IMS-CSCF-A01,P_CSCF,20260608061000,5,1450,1413,37,898,875,23,46,11,3,3108,130.46,37.32,43.05,14935,13488,4,97.45
IMS-CSCF-A01,P_CSCF,20260608061500,5,1517,1494,23,939,920,19,33,8,1,3252,132.84,36.89,47.87,15389,14728,4,98.48
IMS-CSCF-A01,P_CSCF,20260608062000,5,1529,1486,43,946,924,22,52,11,2,3278,130.81,38.53,46.33,15329,14060,4,97.19
IMS-CSCF-A01,P_CSCF,20260608062500,5,1563,1546,17,967,956,11,22,5,1,3350,139.69,37.8,44.66,15409,14724,2,98.91
IMS-CSCF-A01,P_CSCF,20260608062500,5,1563,1546,17,967,956,11,22,5,1,3350,139.69,37.8,44.66,15409,14724,2,98.91
IMS-CSCF-A01,P_CSCF,20260608063000,5,1590,1554,36,984,978,6,33,7,2,3407,,35.46,46.81,16112,15286,1,97.74
IMS-CSCF-A01,P_CSCF,20260608063500,5,1668,1638,30,1032,1025,7,28,7,2,3575,135.6,39.74,48.96,17056,16192,1,98.2
IMS-CSCF-A01,P_CSCF,20260608064000,5,1703,1687,16,1054,1042,12,22,5,1,3651,130.35,41.96,47.61,17570,15468,2,99.06
IMS-CSCF-A01,P_CSCF,20260608064500,5,1662,1616,46,1029,1002,27,58,12,3,3562,122.17,37.78,44.7,16672,15444,4,97.23
IMS-CSCF-A01,P_CSCF,20260608065000,5,1716,1699,17,1062,1037,25,32,8,2,3678,145.63,41.61,46.21,16936,15781,5,99.01
IMS-CSCF-A01,P_CSCF,20260608065500,5,1801,1765,36,1115,1085,30,51,12,3,3860,124.22,42.42,47.48,17567,17143,5,98.0
IMS-CSCF-A01,P_CSCF,20260608070000,5,1825,1799,26,1130,1116,14,31,7,2,3911,145.06,38.11,49.89,17981,17086,2,98.58
IMS-CSCF-A01,P_CSCF,20260608070500,5,1811,1795,16,1121,1092,29,36,8,1,3882,134.26,44.68,50.35,17755,16729,5,99.12
IMS-CSCF-A01,P_CSCF,20260608071000,5,1803,1753,50,1116,1084,32,64,15,3,3865,131.36,41.18,49.13,17885,16741,6,97.23
IMS-CSCF-A01,P_CSCF,20260608071500,5,1907,1854,,1180,1157,23,59,15,2,4087,140.62,40.0,47.84,19106,17846,5,97.22
IMS-CSCF-A01,P_CSCF,20260608072000,5,1932,1900,32,1196,1185,11,35,7,1,4140,139.07,41.67,49.02,18790,18234,2,98.34
IMS-CSCF-A01,P_CSCF,20260608072500,5,1999,1972,27,1237,1201,36,48,12,3,4283,148.19,43.9,52.98,19740,18429,7,98.65
IMS-CSCF-A01,P_CSCF,20260608073000,5,2047,1997,50,1267,1229,38,68,17,3,4386,127.95,44.89,46.78,19961,19145,7,97.56
IMS-CSCF-A01,P_CSCF,20260608073500,5,2062,2033,29,1276,1265,11,32,7,1,4419,135.93,43.69,50.57,21096,18991,2,98.59
IMS-CSCF-A01,P_CSCF,20260608074000,5,2149,2095,54,1330,1318,12,53,11,2,4605,144.69,43.88,49.91,21345,20594,2,97.49
IMS-CSCF-A01,P_CSCF,20260608074500,5,2111,2062,49,1307,1268,39,69,17,2,4524,132.82,42.88,49.52,21229,19662,8,97.68
IMS-CSCF-A01,P_CSCF,20260608075000,5,2208,2191,17,1366,1340,26,34,7,2,4731,137.32,45.37,50.34,21445,21207,4,99.23
IMS-CSCF-A01,P_CSCF,20260608075500,5,2356,2309,47,1458,1444,14,46,12,3,5048,137.8,50.29,48.84,23192,22464,3,98.01
IMS-CSCF-A01,P_CSCF,20260608080000,5,2092,2057,35,1295,1270,25,47,12,1,4483,140.09,40.02,49.81,21466,20088,5,98.33
IMS-CSCF-A01,P_CSCF,20260608080500,5,2318,2264,54,1435,1423,12,51,12,3,4968,144.06,45.41,52.49,23933,21094,2,97.67
IMS-CSCF-A01,P_CSCF,20260608081000,5,2325,2283,42,1439,1429,10,40,10,2,4983,146.25,48.45,50.38,22862,21272,2,98.19
IMS-CSCF-A01,P_CSCF,20260608081500,5,2435,2420,15,1507,1486,21,29,6,1,5217,147.2,51.84,53.01,24268,22146,4,99.38
IMS-CSCF-A01,P_CSCF,20260608082000,5,2519,2504,15,1559,1516,43,45,11,2,5399,151.33,50.21,51.94,25886,23530,8,99.4
IMS-CSCF-A01,P_CSCF,20260608082500,5,2420,2407,13,1498,1468,30,35,7,1,5187,134.58,49.82,51.14,24657,22812,5,99.46
IMS-CSCF-A01,P_CSCF,20260608083000,5,2544,2502,42,1575,1566,9,39,10,2,5453,138.89,46.86,49.39,25867,24322,2,98.35
IMS-CSCF-A01,P_CSCF,20260608083500,5,2686,2639,47,1662,1619,43,67,18,5,5756,144.25,49.9,50.4,26837,24671,9,98.25
IMS-CSCF-A01,P_CSCF,20260608084000,5,2600,2533,67,1609,1569,40,82,21,4,5571,154.25,51.11,53.35,26487,24954,8,97.42
IMS-CSCF-A01,P_CSCF,20260608084500,5,2579,2565,14,1597,1551,46,44,12,4,5528,151.85,51.81,48.13,26550,23395,9,99.46
IMS-CSCF-A01,P_CSCF,20260608085000,5,2726,2687,39,1687,1670,17,44,10,2,5841,145.41,53.94,51.57,28111,25015,3,98.57
IMS-CSCF-A01,P_CSCF,20260608085500,5,2617,2588,29,1620,1586,34,48,12,3,5609,135.38,50.05,52.48,26657,25379,6,98.89
IMS-CSCF-A01,P_CSCF,20260608090000,5,2885,2835,50,1786,1764,22,58,12,2,6184,147.9,51.9,50.16,29155,26512,4,98.27
IMS-CSCF-A01,P_CSCF,20260608090500,5,2527,2500,27,1564,1522,42,56,11,2,5415,146.54,49.06,52.58,24897,23230,7,98.93
IMS-CSCF-A01,P_CSCF,20260608091000,5,2972,2949,23,1840,1826,14,30,6,1,6369,147.07,57.48,54.35,29307,28066,2,99.23
IMS-CSCF-A01,P_CSCF,20260608091500,5,2896,2856,40,1793,1770,23,48,12,3,6206,148.91,56.09,53.98,28234,27311,4,98.62
IMS-CSCF-A01,P_CSCF,20260608092000,5,2897,2880,17,1793,1756,37,41,10,3,6209,154.43,52.49,49.94,28731,26467,7,99.41
IMS-CSCF-A01,P_CSCF,20260608092500,5,2990,2923,67,1851,1835,16,63,16,4,6407,147.89,54.85,50.6,30873,28590,3,97.76
IMS-CSCF-A01,P_CSCF,20260608093000,5,3105,3073,32,1922,1890,32,50,13,1,6654,143.74,56.97,55.7,31135,28957,6,98.97
IMS-CSCF-A01,P_CSCF,20260608093500,5,2961,2931,30,1833,1781,52,65,14,3,6345,156.83,55.11,54.32,29417,28648,9,98.99
IMS-CSCF-A01,P_CSCF,20260608094000,5,3114,3037,77,1927,1870,57,103,24,7,6672,151.71,57.96,56.32,31349,29442,10,97.53
IMS-CSCF-A01,P_CSCF,20260608094500,5,3187,3097,90,1973,1925,48,111,24,3,6830,150.11,53.92,55.27,31370,30894,8,97.18
IMS-CSCF-A01,P_CSCF,20260608095000,5,3189,3101,88,1974,1918,56,112,25,7,6833,146.82,62.07,53.49,31082,30923,10,97.24
IMS-CSCF-A01,P_CSCF,20260608095500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMS-CSCF-A01,P_CSCF,20260608100000,5,3159,3139,20,1955,1897,58,60,15,3,6769,141.58,57.26,52.07,31360,29726,11,99.37
IMS-CSCF-A01,P_CSCF,20260608100500,5,3357,3329,28,2078,2036,42,56,13,1,7195,151.58,58.0,54.39,33229,32008,8,99.17
IMS-CSCF-A01,P_CSCF,20260608101000,5,3283,3261,22,2032,1972,60,61,16,5,7036,156.91,59.56,54.95,33534,31155,12,99.33
IMS-CSCF-A01,P_CSCF,20260608101500,5,3364,3335,29,2082,2059,23,40,9,3,7209,153.88,63.76,54.41,33621,31478,4,99.14
IMS-CSCF-A01,P_CSCF,20260608102000,5,3332,3259,73,2062,2048,14,67,15,5,7141,151.78,59.74,54.3,32806,30428,2,97.81
IMS-CSCF-A01,P_CSCF,20260608102500,5,3442,3395,47,2130,2082,48,75,18,2,7376,172.01,59.44,57.78,33984,31339,9,98.63
IMS-CSCF-A01,P_CSCF,20260608103000,5,3218,3200,18,1992,1941,51,55,12,2,6896,150.85,61.74,53.97,32784,30591,9,99.44
IMS-CSCF-A01,P_CSCF,20260608103500,5,3409,3325,84,2110,2070,40,99,22,3,7306,146.37,62.16,54.34,33789,31501,7,97.54
IMS-CSCF-A01,P_CSCF,20260608104000,5,3253,3208,45,2013,1960,53,76,17,5,6970,148.76,58.64,54.38,32562,30908,9,98.62
IMS-CSCF-A01,P_CSCF,20260608104500,5,3279,3222,57,2030,2006,24,64,15,2,7027,137.5,57.98,55.74,32245,31551,4,98.26
IMS-CSCF-A01,P_CSCF,20260608105000,5,3396,3334,62,2102,2045,57,93,23,3,7277,149.92,58.08,56.45,33082,32510,11,98.17
IMS-CSCF-A01,P_CSCF,20260608105500,5,3243,3155,88,2007,1948,59,119,24,4,6949,144.96,57.62,53.51,33155,30454,10,97.29
IMS-CSCF-A01,P_CSCF,20260608110000,5,3251,3155,96,2012,1956,56,121,27,4,6966,153.61,56.73,54.96,32968,30142,10,97.05
IMS-CSCF-A01,P_CSCF,20260608110500,5,3370,3335,35,2086,2027,59,75,16,3,7222,146.34,57.47,54.8,34596,31054,10,98.96
IMS-CSCF-A01,P_CSCF,20260608111000,5,3287,3234,53,2035,1975,60,88,22,3,7044,155.59,58.3,55.56,33114,31911,12,98.39
IMS-CSCF-A01,P_CSCF,20260608111500,5,3435,3393,42,2126,2085,41,63,15,5,7361,141.81,58.8,54.41,34649,31271,7,98.78
IMS-CSCF-A01,P_CSCF,20260608112000,5,3517,3424,93,2177,2127,50,110,26,7,7538,151.85,59.07,57.35,35994,33625,9,97.36
IMS-CSCF-A01,P_CSCF,20260608112500,5,3477,3403,74,2152,2107,45,95,21,3,7451,153.65,62.24,57.61,35704,32862,8,97.87
IMS-CSCF-A01,P_CSCF,20260608113000,5,3391,3356,35,2099,2068,31,50,13,3,7267,150.08,60.27,56.82,33206,32825,6,98.97
IMS-CSCF-A01,P_CSCF,20260608113500,5,3491,3462,29,2161,2110,51,60,15,5,7481,156.73,61.84,56.52,36049,32227,10,99.17
IMS-CSCF-A01,P_CSCF,20260608114000,5,3160,3114,46,1956,1925,31,62,13,2,6772,158.97,56.25,56.16,32525,29412,5,98.54
IMS-CSCF-A01,P_CSCF,20260608114500,5,3338,3302,36,2066,2034,32,54,11,3,7153,152.23,59.31,56.23,32761,31664,5,98.92
IMS-CSCF-A01,P_CSCF,20260608115000,5,3320,3242,78,2055,2035,20,73,19,6,7115,145.71,56.27,55.85,33830,30577,4,97.65
IMS-CSCF-A01,P_CSCF,20260608115500,5,3175,3134,41,1965,1950,15,43,10,3,6804,148.45,60.68,55.89,31382,29299,3,98.71
IMS-CSCF-A01,P_CSCF,20260608120000,5,3237,3151,86,2004,1951,53,109,26,4,6937,148.18,58.77,53.76,32568,30442,10,97.34
IMS-CSCF-A01,P_CSCF,20260608120500,5,3202,3130,72,1982,1939,43,91,21,3,6863,146.5,56.88,54.52,31477,30703,8,97.75
IMS-CSCF-A01,P_CSCF,20260608121000,5,3022,2953,69,1870,1829,41,87,19,4,6476,151.39,50.3,51.45,31069,28908,7,97.72
IMS-CSCF-A01,P_CSCF,20260608121500,5,3205,3143,62,1984,1939,45,82,19,6,6868,152.58,58.96,54.7,31595,29590,8,98.07
IMS-CSCF-A01,P_CSCF,20260608122000,5,3218,3188,30,1992,1942,50,64,14,2,6897,149.63,57.96,54.49,32425,30369,9,99.07
IMS-CSCF-A01,P_CSCF,20260608122500,5,2974,2934,40,1841,1816,25,51,11,3,6373,145.97,55.91,55.51,29974,27165,4,98.66
IMS-CSCF-A01,P_CSCF,20260608123000,5,2941,2908,33,1820,1794,26,46,11,2,6303,149.31,52.94,51.77,30267,26994,5,98.88
IMS-CSCF-A01,P_CSCF,20260608123500,5,3015,2974,41,1866,1838,28,55,12,2,6461,150.74,53.19,50.79,30422,28613,5,98.64
IMS-CSCF-A01,P_CSCF,20260608124000,5,2833,2760,73,1753,1741,12,65,15,5,6070,156.23,53.73,51.05,29146,25972,2,97.42
IMS-CSCF-A01,P_CSCF,20260608124500,5,2956,2919,37,1830,1803,27,50,11,3,6336,138.6,56.16,51.88,29655,28136,5,98.75
IMS-CSCF-A01,P_CSCF,20260608125000,5,2998,2923,75,1856,1837,19,73,18,3,6425,154.64,57.09,53.22,29716,28512,4,97.5
IMS-CSCF-A01,P_CSCF,20260608125500,5,2932,2897,35,1815,1770,45,61,16,3,6284,132.15,56.12,51.01,28730,26954,9,98.81
IMS-CSCF-A01,P_CSCF,20260608130000,5,2813,2798,15,1741,1731,10,20,4,1,6029,136.42,53.58,53.09,27983,26150,2,99.47
IMS-CSCF-A01,P_CSCF,20260608130000,5,2813,2798,15,1741,1731,10,20,4,1,6029,136.42,53.58,53.09,27983,26150,2,99.47
IMS-CSCF-A01,P_CSCF,20260608130500,5,2939,2864,75,1819,1795,24,81,16,2,6298,156.77,54.12,51.93,30449,27934,4,97.45
IMS-CSCF-A01,P_CSCF,20260608131000,5,2838,2757,81,1757,1720,37,89,23,6,6082,148.86,51.18,54.08,29100,26303,7,97.15
IMS-CSCF-A01,P_CSCF,20260608131500,5,2838,2781,57,1757,1745,12,55,12,2,6083,147.28,52.8,54.24,28130,27174,2,97.99
IMS-CSCF-A01,P_CSCF,20260608132000,5,2771,2724,47,1715,1685,30,62,13,2,5939,150.49,49.92,51.15,27576,26221,5,98.3
IMS-CSCF-A01,P_CSCF,20260608132500,5,2907,2861,46,1799,1753,46,73,17,2,6229,146.17,53.74,54.19,29738,27292,8,98.42
IMS-CSCF-A01,P_CSCF,20260608133000,5,2837,2801,36,1756,1724,32,52,13,3,6081,150.52,50.6,54.45,28370,27187,6,98.73
IMS-CSCF-A01,P_CSCF,20260608133500,5,2824,2758,66,1748,1706,42,82,21,5,6052,144.98,52.81,55.72,29035,26780,8,97.66
IMS-CSCF-A01,P_CSCF,20260608133500,5,2824,2758,66,1748,1706,42,82,21,5,6052,144.98,52.81,55.72,29035,26780,8,97.66
IMS-CSCF-A01,P_CSCF,20260608134000,5,2834,2776,58,1754,1703,51,86,19,4,6072,141.92,53.39,51.82,28565,26218,9,97.95
IMS-CSCF-A01,P_CSCF,20260608134500,5,2730,2705,25,1690,1656,34,47,10,2,5851,151.62,53.36,51.44,28168,25635,6,99.08
IMS-CSCF-A01,P_CSCF,20260608135000,5,2673,2599,74,1655,1629,26,81,16,3,5729,154.66,48.64,52.92,27069,25738,4,97.23
IMS-CSCF-A01,P_CSCF,20260608135500,5,2744,2714,30,1698,1682,16,36,8,2,5880,153.93,49.97,53.47,27006,24940,3,98.91
IMS-CSCF-A01,P_CSCF,20260608140000,5,2616,2574,42,1619,1579,40,64,14,4,5605,146.26,48.16,50.88,26590,23788,7,98.39
IMS-CSCF-A01,P_CSCF,20260608140500,5,2644,2593,51,1637,1623,14,52,11,2,5667,150.93,52.53,52.78,26916,24945,2,98.07
IMS-CSCF-A01,P_CSCF,20260608141000,5,2653,2580,73,1642,1600,42,91,19,5,5685,151.27,50.21,49.4,26026,25204,7,97.25
IMS-CSCF-A01,P_CSCF,20260608141500,5,2563,2520,43,1586,1572,14,44,11,2,5492,139.09,47.89,51.87,25323,24040,3,98.32
IMS-CSCF-A01,P_CSCF,20260608142000,5,2655,2598,57,1643,1601,42,75,18,6,5689,142.87,47.71,54.42,26815,24444,8,97.85
IMS-CSCF-A01,P_CSCF,20260608142500,5,2632,2590,42,1629,1614,15,46,9,2,5641,148.19,52.55,52.07,26742,24296,2,98.4
IMS-CSCF-A01,P_CSCF,20260608143000,5,2583,2521,62,1599,1567,32,71,18,5,5536,144.11,50.98,52.98,25313,24529,6,97.6
IMS-CSCF-A01,P_CSCF,20260608143500,5,2654,2585,69,1643,1628,15,66,15,3,5687,138.37,52.51,54.52,26546,24277,3,97.4
IMS-CSCF-A01,P_CSCF,20260608144000,5,2469,2413,56,1528,1490,38,73,16,5,5291,144.15,47.1,50.63,25558,23870,6,97.73
IMS-CSCF-A01,P_CSCF,20260608144500,5,2727,2699,28,1688,1643,45,58,13,2,5844,154.01,49.6,53.88,27021,25283,8,98.97
IMS-CSCF-A01,P_CSCF,20260608145000,5,2727,2666,61,1688,1638,50,86,21,4,5845,140.06,52.21,52.0,27521,26115,9,97.76
